RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,MessagePending_type,MessagePending,WakeupInterval_type,WakeupInterval,ChargerNumber_type,ChargerNumber,Send,msgId
2021-09-06 23:31:05,00,D88039EC686C,000B,1A,F1,07,12,0,13,00,33,0405,S,327309702
2021-09-06 23:41:05,00,D88039EC686C,000B,1A,7A,07,12,0,13,00,33,0405,S,327316098
2021-09-06 23:48:24,00,D88039EC686C,000B,1A,E7,07,12,0,13,00,33,0405,S,327320914
2021-09-06 23:49:09,00,D88039EC686C,000B,1A,C0,07,12,0,13,00,33,0405,S,327321347
2021-09-06 23:51:35,00,D88039EC686C,000B,1A,A2,07,12,0,13,00,33,0405,S,327322815
2021-09-07 00:01:36,00,D88039EC686C,000B,1A,1B,07,12,0,13,00,33,0405,S,327329190
2021-09-07 00:11:36,00,D88039EC686C,000B,1A,71,07,12,0,13,00,33,0405,S,327335495
2021-09-07 00:21:37,00,D88039EC686C,000B,1A,C6,07,12,0,13,00,33,0405,S,327341791
2021-09-07 00:31:38,00,D88039EC686C,000B,1A,F8,07,12,0,13,00,33,0405,S,327348020
2021-09-07 00:41:39,00,D88039EC686C,000B,1A,0C,07,12,0,13,00,33,0405,S,327354196
2021-09-07 00:51:39,00,D88039EC686C,000B,1A,0C,07,12,0,13,00,33,0405,S,327360330
2021-09-07 01:01:39,00,D88039EC686C,000B,1A,F9,07,12,0,13,00,33,0405,S,327366428
2021-09-07 01:11:40,00,D88039EC686C,000B,1A,D5,07,12,0,13,00,33,0405,S,327372500
2021-09-07 01:21:40,00,D88039EC686C,000B,1A,B2,07,12,0,13,00,33,0405,S,327378570
2021-09-07 01:31:40,00,D88039EC686C,000B,1A,93,07,12,0,13,00,33,0405,S,327384641
2021-09-07 01:41:41,00,D88039EC686C,000B,1A,A6,07,12,0,13,00,33,0405,S,327390806
2021-09-07 01:51:42,00,D88039EC686C,000B,1A,85,07,12,0,13,00,33,0405,S,327396879
2021-09-07 02:01:43,00,D88039EC686C,000B,1A,3C,07,12,0,13,00,33,0405,S,327402869
2021-09-07 02:11:43,00,D88039EC686C,000B,1A,05,07,12,0,13,00,33,0405,S,327408896
2021-09-07 02:21:44,00,D88039EC686C,000B,1A,C2,07,12,0,13,00,33,0405,S,327414897
2021-09-07 02:31:45,00,D88039EC686C,000B,1A,80,07,12,0,13,00,33,0405,S,327420903
2021-09-07 02:41:45,00,D88039EC686C,000B,1A,3F,07,12,0,13,00,33,0405,S,327426904
2021-09-07 02:51:45,00,D88039EC686C,000B,1A,E2,07,12,0,13,00,33,0405,S,327432857
2021-09-07 03:01:20,00,D88039EC686C,000B,1A,22,07,12,0,13,00,33,0405,S,327438608
2021-09-07 03:01:24,00,D88039EC686C,000B,1A,33,07,12,0,13,00,33,0405,S,327438648
2021-09-07 03:11:25,00,D88039EC686C,000B,1A,0A,07,12,0,13,00,33,0405,S,327444701
2021-09-07 03:21:25,00,D88039EC686C,000B,1A,AF,07,12,0,13,00,33,0405,S,327450658
2021-09-07 03:31:25,00,D88039EC686C,000B,1A,44,07,12,0,13,00,33,0405,S,327456583
2021-09-07 03:41:26,00,D88039EC686C,000B,1A,C5,07,12,0,13,00,33,0405,S,327462470
2021-09-07 03:51:27,00,D88039EC686C,000B,1A,79,07,12,0,13,00,33,0405,S,327468448
2021-09-07 04:01:27,00,D88039EC686C,000B,1A,FD,07,12,0,13,00,33,0405,S,327474338
