RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,AccessId_type,AccessId,RequireCurrent_type,RequireCurrent,RequireWatt_type,RequireWatt,ChargingTime_type,ChargingTime,StartDelay_type,StartDelay,UserConfirm_type,UserConfirm,ChargerNumber_type,ChargerNumber
2021-09-26 15:36:00,00,801F1263B190,001A,05,53,16,09,622068736,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-09-29 12:04:00,00,801F1263B190,001A,05,A0,16,09,3642688512,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-09-29 18:56:00,00,801F1263B190,001A,05,25,16,09,3139503104,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-09-30 13:48:00,00,801F1263B190,001A,05,A9,16,09,2569274368,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-09-30 14:29:00,00,801F1263B190,001A,05,FD,16,09,3122922496,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-01 11:16:00,00,801F1263B190,001A,05,AA,16,09,388563968,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-02 08:19:00,00,801F1263B190,001A,05,F7,16,09,1580008448,18,00,20,20000.0,06,43200,07,0,26,00,33,0305
2021-10-02 14:05:00,00,801F1263B190,001A,05,F4,16,09,1043203072,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-03 12:20:00,00,801F1263B190,001A,05,13,16,09,3056665600,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-03 20:56:00,00,801F1263B190,001A,05,3A,16,09,3241346048,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-04 10:02:00,00,801F1263B190,001A,05,9A,16,09,4113826816,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-04 15:08:00,00,801F1263B190,001A,05,94,16,09,3191145472,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-04 18:02:00,00,801F1263B190,001A,05,1F,16,09,2134246400,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-05 17:29:00,00,801F1263B190,001A,05,8B,16,09,54133760,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-06 10:41:00,00,801F1263B190,001A,05,0C,16,09,104662016,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-06 16:49:00,00,801F1263B190,001A,05,A7,16,09,4181525504,18,00,20,391.08,06,43200,07,0,26,00,33,0305
2021-10-06 19:23:00,00,801F1263B190,001A,05,66,16,09,3879601152,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-07 09:35:00,00,801F1263B190,001A,05,AF,16,09,289473536,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-09 08:16:00,00,801F1263B190,001A,05,88,16,09,3343451136,18,00,20,20000.0,06,43200,07,0,26,00,33,0305
2021-10-09 14:46:00,00,801F1263B190,001A,05,6F,16,09,3259630592,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-10 16:27:00,00,801F1263B190,001A,05,07,16,09,2488140800,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-11 07:26:00,00,801F1263B190,001A,05,8D,16,09,3142583296,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-11 10:34:00,00,801F1263B190,001A,05,3E,16,09,290522112,18,00,20,7821.66,06,43200,07,0,26,00,33,0305
2021-10-12 10:21:00,00,801F1263B190,001A,05,80,16,09,1414857728,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-13 16:08:00,00,801F1263B190,001A,05,44,16,09,1868170240,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-13 18:43:00,00,801F1263B190,001A,05,0E,16,09,1499137024,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-14 11:00:00,00,801F1263B190,001A,05,12,16,09,375260160,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-14 16:20:00,00,801F1263B190,001A,05,7D,16,09,392102912,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
2021-10-15 09:42:00,00,801F1263B190,001A,05,C9,16,09,2875327488,18,00,20,30000.0,06,43200,07,0,26,00,33,0305
