ChargerId,RegDt,Send,msg,msgId
D88039EC8125,2021-09-07 02:38:12,R,   00 D8 80 39 EC 81 25 00    0E 15 50 0A 01 0A 09 E5    C1 03 00 33 03 27 77    ,327424939
D88039EC8125,2021-09-07 02:38:13,S,   00 D8 80 39 EC 81 25 00    0B 1A 6F 07 12 00 13 00    33 03 27 EE             ,327424955
D88039EC8125,2021-09-07 02:48:13,R,   00 D8 80 39 EC 81 25 00    0E 15 51 0A 01 0A 09 E5    C1 03 00 33 03 27 76    ,327430899
D88039EC8125,2021-09-07 02:48:14,S,   00 D8 80 39 EC 81 25 00    0B 1A 15 07 12 00 13 00    33 03 27 48             ,327430908
D88039EC8125,2021-09-07 02:58:13,R,   00 D8 80 39 EC 81 25 00    0E 15 52 0A 01 0A 09 E5    C1 03 00 33 03 27 75    ,327436855
D88039EC8125,2021-09-07 02:58:14,S,   00 D8 80 39 EC 81 25 00    0B 1A B7 07 12 00 13 00    33 03 27 A6             ,327436857
D88039EC8125,2021-09-07 03:08:14,R,   00 D8 80 39 EC 81 25 00    0E 15 53 0A 01 0A 09 E5    C1 03 00 33 03 27 74    ,327442971
D88039EC8125,2021-09-07 03:08:15,S,   00 D8 80 39 EC 81 25 00    0B 1A AB 07 12 00 13 00    33 03 27 B2             ,327442974
D88039EC8125,2021-09-07 03:18:15,R,   00 D8 80 39 EC 81 25 00    0E 15 54 0A 01 0A 09 E5    C1 03 00 33 03 27 73    ,327448904
D88039EC8125,2021-09-07 03:18:16,S,   00 D8 80 39 EC 81 25 00    0B 1A 44 07 12 00 13 00    33 03 27 19             ,327448910
D88039EC8125,2021-09-07 03:28:16,R,   00 D8 80 39 EC 81 25 00    0E 15 55 0A 01 0A 09 E5    C1 03 00 33 03 27 72    ,327454867
D88039EC8125,2021-09-07 03:28:17,S,   00 D8 80 39 EC 81 25 00    0B 1A EF 07 12 00 13 00    33 03 27 6E             ,327454879
D88039EC8125,2021-09-07 03:38:17,R,   00 D8 80 39 EC 81 25 00    0E 15 56 0A 01 0A 09 E5    C1 03 00 33 03 27 71    ,327460770
D88039EC8125,2021-09-07 03:38:18,S,   00 D8 80 39 EC 81 25 00    0B 1A 7C 07 12 00 13 00    33 03 27 E1             ,327460786
D88039EC8125,2021-09-07 03:48:18,R,   00 D8 80 39 EC 81 25 00    0E 15 57 0A 01 0A 09 E5    C1 03 00 33 03 27 70    ,327466725
