RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,MessagePending_type,MessagePending,WakeupInterval_type,WakeupInterval,ChargerNumber_type,ChargerNumber,Send,msgId
2021-10-01 00:04:35,00,D88039EC48E0,000B,1A,CE,07,12,0,13,00,33,0378,S,348697722
2021-10-01 00:14:36,00,D88039EC48E0,000B,1A,C7,07,12,0,13,00,33,0378,S,348704355
2021-10-01 00:24:37,00,D88039EC48E0,000B,1A,AE,07,12,0,13,00,33,0378,S,348710944
2021-10-01 00:34:38,00,D88039EC48E0,000B,1A,A0,07,12,0,13,00,33,0378,S,348717559
2021-10-01 00:44:39,00,D88039EC48E0,000B,1A,75,07,12,0,13,00,33,0378,S,348724116
2021-10-01 00:54:40,00,D88039EC48E0,000B,1A,5A,07,12,0,13,00,33,0378,S,348730705
2021-10-01 01:04:41,00,D88039EC48E0,000B,1A,34,07,12,0,13,00,33,0378,S,348737272
2021-10-01 01:14:42,00,D88039EC48E0,000B,1A,D6,07,12,0,13,00,33,0378,S,348743732
2021-10-01 01:24:43,00,D88039EC48E0,000B,1A,72,07,12,0,13,00,33,0378,S,348750179
2021-10-01 01:34:44,00,D88039EC48E0,000B,1A,03,07,12,0,13,00,33,0378,S,348756603
2021-10-01 01:44:44,00,D88039EC48E0,000B,1A,8A,07,12,0,13,00,33,0378,S,348763007
2021-10-01 01:54:45,00,D88039EC48E0,000B,1A,04,07,12,0,13,00,33,0378,S,348769392
2021-10-01 02:04:46,00,D88039EC48E0,000B,1A,87,07,12,0,13,00,33,0378,S,348775786
2021-10-01 02:14:46,00,D88039EC48E0,000B,1A,1F,07,12,0,13,00,33,0378,S,348782224
2021-10-01 02:24:47,00,D88039EC48E0,000B,1A,B7,07,12,0,13,00,33,0378,S,348788658
2021-10-01 02:34:48,00,D88039EC48E0,000B,1A,43,07,12,0,13,00,33,0378,S,348795074
2021-10-01 02:44:49,00,D88039EC48E0,000B,1A,8A,07,12,0,13,00,33,0378,S,348801355
2021-10-01 02:54:50,00,D88039EC48E0,000B,1A,F9,07,12,0,13,00,33,0378,S,348807709
2021-10-01 03:04:06,00,D88039EC48E0,000B,1A,AA,07,12,0,13,00,33,0378,S,348813694
2021-10-01 03:04:10,00,D88039EC48E0,000B,1A,C5,07,12,0,13,00,33,0378,S,348813747
2021-10-01 03:14:11,00,D88039EC48E0,000B,1A,37,07,12,0,13,00,33,0378,S,348820109
2021-10-01 03:24:12,00,D88039EC48E0,000B,1A,67,07,12,0,13,00,33,0378,S,348826340
2021-10-01 03:34:13,00,D88039EC48E0,000B,1A,77,07,12,0,13,00,33,0378,S,348832513
2021-10-01 03:44:14,00,D88039EC48E0,000B,1A,86,07,12,0,13,00,33,0378,S,348838680
2021-10-01 03:54:15,00,D88039EC48E0,000B,1A,DB,07,12,0,13,00,33,0378,S,348844984
2021-10-01 04:04:16,00,D88039EC48E0,000B,1A,1C,07,12,0,13,00,33,0378,S,348851259
2021-10-01 04:14:17,00,D88039EC48E0,000B,1A,79,07,12,0,13,00,33,0378,S,348857585
2021-10-01 04:24:18,00,D88039EC48E0,000B,1A,93,07,12,0,13,00,33,0378,S,348863767
2021-10-01 04:34:19,00,D88039EC48E0,000B,1A,B1,07,12,0,13,00,33,0378,S,348869957
2021-10-01 04:44:20,00,D88039EC48E0,000B,1A,A7,07,12,0,13,00,33,0378,S,348876081
2021-10-01 04:54:21,00,D88039EC48E0,000B,1A,A8,07,12,0,13,00,33,0378,S,348882220
2021-10-01 05:04:22,00,D88039EC48E0,000B,1A,BD,07,12,0,13,00,33,0378,S,348888399
2021-10-01 05:14:23,00,D88039EC48E0,000B,1A,D1,07,12,0,13,00,33,0378,S,348894577
2021-10-01 05:24:24,00,D88039EC48E0,000B,1A,BE,07,12,0,13,00,33,0378,S,348900682
2021-10-01 05:34:25,00,D88039EC48E0,000B,1A,ED,07,12,0,13,00,33,0378,S,348906912
2021-10-01 05:44:26,00,D88039EC48E0,000B,1A,38,07,12,0,13,00,33,0378,S,348913193
2021-10-01 05:54:26,00,D88039EC48E0,000B,1A,2F,07,12,0,13,00,33,0378,S,348919318
2021-10-01 06:04:27,00,D88039EC48E0,000B,1A,1D,07,12,0,13,00,33,0378,S,348925427
2021-10-01 06:14:28,00,D88039EC48E0,000B,1A,35,07,12,0,13,00,33,0378,S,348931614
2021-10-01 06:24:29,00,D88039EC48E0,000B,1A,53,07,12,0,13,00,33,0378,S,348937810
