RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,AccessId_type,AccessId,RequireCurrent_type,RequireCurrent,RequireWatt_type,RequireWatt,ChargingTime_type,ChargingTime,StartDelay_type,StartDelay,UserConfirm_type,UserConfirm,ChargerNumber_type,ChargerNumber
2021-10-19 16:55:00,00,D88039EC8125,001A,05,E7,16,09,628425728,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-20 08:32:00,00,D88039EC8125,001A,05,BA,16,09,2474116096,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-20 16:40:00,00,D88039EC8125,001A,05,41,16,09,846857216,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-21 06:18:00,00,D88039EC8125,001A,05,17,16,09,1115489280,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-21 12:16:00,00,D88039EC8125,001A,05,35,16,09,159253504,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-21 15:22:00,00,D88039EC8125,001A,05,87,16,09,2692613120,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-22 16:28:00,00,D88039EC8125,001A,05,93,16,09,126092288,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-25 06:54:00,00,D88039EC8125,001A,05,6F,16,09,2710504448,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-25 15:38:00,00,D88039EC8125,001A,05,41,16,09,4170187776,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-27 06:57:00,00,D88039EC8125,001A,05,43,16,09,630785024,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-27 17:15:00,00,D88039EC8125,001A,05,06,16,09,4120511488,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-28 08:41:00,00,D88039EC8125,001A,05,98,16,09,765330432,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-28 17:04:00,00,D88039EC8125,001A,05,96,16,09,3550413824,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-10-29 14:14:00,00,D88039EC8125,001A,05,C2,16,09,597951488,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-01 06:42:30,00,D88039EC8125,001A,05,BF,16,09,3836740608,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-01 17:10:46,00,D88039EC8125,001A,05,17,16,09,3031565312,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-02 07:29:58,00,D88039EC8125,001A,05,0C,16,09,3350529024,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-02 10:03:33,00,D88039EC8125,001A,05,47,16,09,1018561536,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-03 16:17:31,00,D88039EC8125,001A,05,54,16,09,2361132032,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-03 16:52:51,00,D88039EC8125,001A,05,AB,16,09,3015443456,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-04 07:01:41,00,D88039EC8125,001A,05,77,16,09,4139713536,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-04 16:21:50,00,D88039EC8125,001A,05,E0,16,09,3401647104,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-05 08:33:20,00,D88039EC8125,001A,05,E3,16,09,2261058560,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-08 06:45:07,00,D88039EC8125,001A,05,0C,16,09,886244352,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-09 07:15:12,00,D88039EC8125,001A,05,A9,16,09,1742210048,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-09 15:16:31,00,D88039EC8125,001A,05,C1,16,09,685376512,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-10 15:40:27,00,D88039EC8125,001A,05,C4,16,09,2178876416,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-11 14:09:11,00,D88039EC8125,001A,05,10,16,09,2799961088,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-12 08:24:07,00,D88039EC8125,001A,05,9C,16,09,401146880,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-12 10:16:53,00,D88039EC8125,001A,05,F2,16,09,2263417856,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-15 07:00:35,00,D88039EC8125,001A,05,2B,16,09,519570432,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-16 07:10:24,00,D88039EC8125,001A,05,61,16,09,1123877888,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-16 15:11:38,00,D88039EC8125,001A,05,11,16,09,2180908032,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-17 16:12:45,00,D88039EC8125,001A,05,08,16,09,3926066432,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-18 15:46:00,00,D88039EC8125,001A,05,5E,16,09,1661535488,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-19 11:44:00,00,D88039EC8125,001A,05,B0,16,09,739116288,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-22 07:04:07,00,D88039EC8125,001A,05,B1,16,09,505152768,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-23 07:09:01,00,D88039EC8125,001A,05,C2,16,09,2619409664,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-24 07:30:30,00,D88039EC8125,001A,05,93,16,09,3207005440,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-24 15:08:42,00,D88039EC8125,001A,05,EA,16,09,539559168,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-25 09:25:31,00,D88039EC8125,001A,05,C6,16,09,2418869504,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-25 15:25:37,00,D88039EC8125,001A,05,C7,16,09,3677226240,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-29 15:13:37,00,D88039EC8125,001A,05,85,16,09,943981824,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-30 10:21:46,00,D88039EC8125,001A,05,9B,16,09,1112081664,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
2021-11-30 16:04:09,00,D88039EC8125,001A,05,8C,16,09,2320106752,18,00,20,20000.0,06,43200,07,0,26,00,33,0327
