RegDt,ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,AccessId_type,AccessId,RequireCurrent_type,RequireCurrent,RequireWatt_type,RequireWatt,ChargingTime_type,ChargingTime,StartDelay_type,StartDelay,UserConfirm_type,UserConfirm,ChargerNumber_type,ChargerNumber
2021-09-15 12:17:28,00,D88039EC684A,001A,05,56,16,09,3336962816,18,00,20,1707.06,06,43200,07,0,26,00,33,0408
2021-09-15 13:23:36,00,D88039EC684A,001A,05,9D,16,09,3924165376,18,00,20,1707.06,06,43200,07,0,26,00,33,0408
2021-09-15 14:32:55,00,D88039EC684A,001A,05,0B,16,09,552010496,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 20:30:18,00,D88039EC684A,001A,05,BB,16,09,3639083776,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-15 21:41:59,00,D88039EC684A,001A,05,A1,16,09,1206452992,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-16 09:18:24,00,D88039EC684A,001A,05,0B,16,09,267059968,18,00,20,20000.0,06,43200,07,0,26,00,33,0408
2021-09-16 09:43:52,00,D88039EC684A,001A,05,0D,16,09,820708096,18,00,20,20000.0,06,43200,07,0,26,00,33,0408
2021-09-16 09:45:59,00,D88039EC684A,001A,05,9A,16,09,854262528,18,00,20,20000.0,06,43200,07,0,26,00,33,0408
2021-09-16 19:55:52,00,D88039EC684A,001A,05,24,16,09,2062353152,18,00,20,3414.13,06,43200,07,0,26,00,33,0408
2021-09-16 20:48:26,00,D88039EC684A,001A,05,34,16,09,3605857024,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-17 09:22:11,00,D88039EC684A,001A,05,39,16,09,2985231104,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-17 09:35:41,00,D88039EC684A,001A,05,8F,16,09,3119448832,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-17 13:45:14,00,D88039EC684A,001A,05,0D,16,09,1408238336,18,00,20,3414.13,06,43200,07,0,26,00,33,0408
2021-09-17 15:24:05,00,D88039EC684A,001A,05,47,16,09,2649752320,18,00,20,3414.13,06,43200,07,0,26,00,33,0408
2021-09-17 18:59:00,00,D88039EC684A,001A,05,33,16,09,1039336192,18,00,20,6828.26,06,43200,07,0,26,00,33,0408
2021-09-18 10:15:05,00,D88039EC684A,001A,05,83,16,09,3237282560,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-18 14:00:26,00,D88039EC684A,001A,05,BD,16,09,1307968256,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-18 15:26:12,00,D88039EC684A,001A,05,E3,16,09,2532705024,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-19 13:07:34,00,D88039EC684A,001A,05,EB,16,09,4210623232,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-22 12:18:06,00,D88039EC684A,001A,05,45,16,09,3942843392,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-22 14:01:09,00,D88039EC684A,001A,05,38,16,09,788792320,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-22 15:29:57,00,D88039EC684A,001A,05,D7,16,09,1896088576,18,00,20,20000.0,06,43200,07,0,26,00,33,0408
2021-09-22 21:50:58,00,D88039EC684A,001A,05,C9,16,09,4261741568,18,00,20,3414.13,06,43200,07,0,26,00,33,0408
2021-09-23 10:22:43,00,D88039EC684A,001A,05,CF,16,09,1141310464,18,00,20,2048.48,06,43200,07,0,26,00,33,0408
2021-09-23 10:29:07,00,D88039EC684A,001A,05,C4,16,09,1241973760,18,00,20,2048.48,06,43200,07,0,26,00,33,0408
2021-09-23 11:12:06,00,D88039EC684A,001A,05,64,16,09,2097611776,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-23 14:19:55,00,D88039EC684A,001A,05,86,16,09,352846848,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-23 18:29:25,00,D88039EC684A,001A,05,FF,16,09,1057555456,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-23 19:29:49,00,D88039EC684A,001A,05,88,16,09,2835940352,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-23 20:34:11,00,D88039EC684A,001A,05,54,16,09,352977920,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-24 07:17:08,00,D88039EC684A,001A,05,BA,16,09,1359676416,18,00,20,20000.0,06,43200,07,0,26,00,33,0408
2021-09-24 07:40:27,00,D88039EC684A,001A,05,F7,16,09,1561003008,18,00,20,20000.0,06,43200,07,0,26,00,33,0408
2021-09-24 07:42:33,00,D88039EC684A,001A,05,64,16,09,1577780224,18,00,20,20000.0,06,43200,07,0,26,00,33,0408
2021-09-24 12:57:20,00,D88039EC684A,001A,05,D4,16,09,487326720,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-24 18:54:36,00,D88039EC684A,001A,05,4C,16,09,2433549312,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-24 20:31:58,00,D88039EC684A,001A,05,83,16,09,1443759104,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-25 20:11:43,00,D88039EC684A,001A,05,BE,16,09,3926983680,18,00,20,5121.2,06,43200,07,0,26,00,33,0408
2021-09-27 11:56:25,00,D88039EC684A,001A,05,66,16,09,2182546432,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-27 19:53:32,00,D88039EC684A,001A,05,D6,16,09,2954429440,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-28 09:10:40,00,D88039EC684A,001A,05,44,16,09,1629160448,18,00,20,6828.26,06,43200,07,0,26,00,33,0408
2021-09-28 15:11:18,00,D88039EC684A,001A,05,B2,16,09,840696832,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-28 19:03:56,00,D88039EC684A,001A,05,26,16,09,1427964928,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-28 20:46:07,00,D88039EC684A,001A,05,7B,16,09,136184832,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-29 13:28:20,00,D88039EC684A,001A,05,0D,16,09,538969088,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-29 18:50:50,00,D88039EC684A,001A,05,66,16,09,2921399296,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-29 20:04:34,00,D88039EC684A,001A,05,08,16,09,958530560,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-30 12:59:41,00,D88039EC684A,001A,05,5A,16,09,2015626240,18,00,20,5121.2,06,43200,07,0,26,00,33,0408
2021-09-30 19:09:32,00,D88039EC684A,001A,05,34,16,09,1344668672,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-09-30 20:44:06,00,D88039EC684A,001A,05,DE,16,09,455541760,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-10-01 13:02:51,00,D88039EC684A,001A,05,8E,16,09,1814627328,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-10-01 15:41:12,00,D88039EC684A,001A,05,E4,16,09,3576235008,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-10-01 19:44:55,00,D88039EC684A,001A,05,EC,16,09,1831535616,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-10-01 21:06:46,00,D88039EC684A,001A,05,33,16,09,103547904,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-10-02 17:22:16,00,D88039EC684A,001A,05,6A,16,09,4214096896,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
2021-10-02 17:45:18,00,D88039EC684A,001A,05,48,16,09,355402752,18,00,20,30000.0,06,43200,07,0,26,00,33,0408
